koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_disposition
19.221388942,184.5521637,1.065,4.79843,74284.0,0.476633,1.57359,49.29,0.1417,88.05,698.0,55.97,31.323,387.658,2174.4263,2317.0,2,55.0,0.0003,6117.0,4.496,-0.22,0.947,1.025,295.81454,47.69035,15.341,FALSE POSITIVE
16.46983774,180.881761,0.292,9.4378,10479.0,0.092509,0.19353,7.94,0.1147,88.81,595.0,29.61,14.05,43.1625,258.8247,303.4,1,66.0,0.0112,5152.0,4.517,-0.2,0.786,0.741,297.15442,47.668701,15.788,FALSE POSITIVE
9.27358173,173.258155,0.387,3.2875,1288.3,0.032563,1.93557,2.47,0.0759,88.93,649.0,41.85,20.65,9.616924,71.48005,87.2,1,144.0,0.0504,4856.0,4.583,-0.3,0.696,0.676,288.13824,47.724449,15.302,CONFIRMED
6.02930329,171.602959,0.258,1.5821,1912.7,0.038838,13.09803,2.85,0.0585,89.5,678.0,50.04,29.31,6.876831,52.36939,65.4,1,215.0,1.0,4537.0,4.648,0.21,0.672,0.761,283.71088,47.86327,15.784,CONFIRMED
2.696370652,170.73769,0.044,3.6129,397.9,0.017673,0.51471,1.58,0.0349,89.56,1066.0,305.34,5.827,5.508401,34.570904,48.2,1,501.0,0.0505,4989.0,4.504,0.1,0.819,0.781,283.76547,47.804298,15.269,FALSE POSITIVE
5.349553819,171.80694,0.092,3.0278,831.0,0.025706,1.73782,2.55,0.0563,89.62,919.0,168.99,13.8015,6.0370364,48.504196,60.6,3,247.0,0.7722,5185.0,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416,CONFIRMED
3.94105221,136.08662,0.226,2.5984,363.3,0.017105,1.85636,1.7,0.046,88.88,1018.0,253.15,11.51,4.5118856,22.749151,28.9,3,322.0,0.923,5185.0,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416,CONFIRMED
8.10904807,132.8031,0.025,3.596,217.4,0.013127,1.5302,1.3,0.0743,89.92,800.0,97.03,17.46,4.434382,9.776852,14.1,3,141.0,0.7742,5185.0,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416,CONFIRMED
386.6030528,166.342079,0.9765,6.8057,24927.0,0.240528,4.63335,41.5,1.0719,89.95,297.0,1.84,332.0,,,994.0,1,,,5543.0,4.081,0.44,1.58,1.103,292.27374,37.671558,12.394,FALSE POSITIVE
21.67699193,171.53594,0.896,3.4555,857.2,0.032666,0.60007,2.95,0.1408,87.91,530.0,18.64,24.6,5.911944,24.54073,34.3,4,62.0,0.6183,4954.0,4.5,0.18,0.828,0.791,290.46512,47.92918,15.377,CONFIRMED
4.99677968,171.74208,0.71,2.1717,934.7,0.030014,1.71827,2.78,0.0559,86.9,917.0,166.95,13.14,4.132564,24.283327,28.2,1,208.0,0.036,5339.0,4.552,0.18,0.847,0.931,297.80826,47.946671,15.861,CONFIRMED
4.280963604,171.89659,0.424,2.875,750.8,0.025377,1.24482,2.3,0.0503,87.72,1012.0,247.87,10.64,6.7006826,52.913242,61.8,1,311.0,0.4302,5644.0,4.564,-0.14,0.831,0.928,294.26581,49.314091,15.356,CONFIRMED
1.50635409,170.998064,0.86,1.5155,2211.7,0.049899,0.84722,4.53,0.025,79.38,1452.0,1054.12,4.67,9.787732,130.6654,181.1,1,882.0,1.0,5714.0,4.563,-0.2,0.831,0.926,295.66522,49.351009,15.525,FALSE POSITIVE
670.645531,209.04355,0.701,53.412,18091.0,0.131705,0.02605,14.14,1.5155,89.53,196.0,0.35,85.24,70.64302,96.96236,642.7,1,3.0,0.0001,5520.0,4.466,0.48,0.983,1.03,296.69861,49.316479,15.207,FALSE POSITIVE
61.2563628,173.83826,1.248,7.633,5123.3,0.334628,0.12411,39.87,0.3137,87.54,505.0,15.43,29.1,31.079844,73.10389,85.3,1,13.0,0.8513,6144.0,4.402,0.0,1.091,1.093,283.72592,49.479519,15.25,FALSE POSITIVE
38.3775486,172.82048,0.468,5.588,724.2,0.024901,1.40588,2.82,0.2163,89.44,529.0,18.53,47.8,10.352898,31.946487,34.7,1,37.0,0.3889,5481.0,4.369,0.16,1.036,0.915,291.72202,49.480869,15.172,CONFIRMED
41.19725502,165.00404,0.045,4.6297,2213.9,0.041693,3.9471,3.86,0.217,89.96,439.0,8.76,70.75,11.918161,37.877567,51.2,3,26.0,0.1551,5031.0,4.485,0.16,0.848,0.801,286.99948,48.37579,15.841,CONFIRMED
6.252962249,171.30126,0.105,2.5819,1036.9,0.028604,3.28707,2.65,0.0617,89.68,823.0,108.3,18.94,5.834264,35.96252,47.1,3,167.0,0.7587,5031.0,4.485,0.16,0.848,0.801,286.99948,48.37579,15.841,CONFIRMED
16.01308419,176.3608,0.799,3.2554,1121.9,0.034369,1.10942,3.1,0.1148,88.14,593.0,29.31,24.7,8.468995,31.066507,33.2,1,65.0,0.8555,5015.0,4.499,0.1,0.826,0.785,297.02563,48.478588,15.39,CONFIRMED
32.62876672,194.1019,0.021,4.7971,1804.8,0.03852,2.79093,3.36,0.1889,89.98,506.0,15.55,53.95,14.0889,61.372303,80.0,2,34.0,0.6386,5586.0,4.56,-0.3,0.798,0.844,285.71854,48.505859,15.082,CONFIRMED
91.7732862,193.8378,0.606,6.473,652.0,0.02432,1.60558,2.12,0.3764,89.61,359.0,3.92,89.4,6.9461374,14.678595,19.1,2,11.0,0.7668,5586.0,4.56,-0.3,0.798,0.844,285.71854,48.505859,15.082,CONFIRMED
4.959319244,172.2585292,0.831,2.22739,9802.0,0.103379,1.46169,12.21,0.0565,86.15,1103.0,349.4,12.386,58.764744,670.4895,696.5,1,269.0,0.0517,5712.0,4.359,0.1,1.082,0.976,292.16705,48.727589,15.263,CONFIRMED
2.701287801,170.69579,1.016,3.3827,860.4,0.06584,0.02818,6.54,0.0365,62.69,1222.0,527.81,2.22,5.044661,39.745068,48.3,1,387.0,0.3375,5550.0,4.468,-0.04,0.91,0.889,297.92365,48.777321,15.54,FALSE POSITIVE
4.49876511,171.34905,0.312,3.7362,460.0,0.019817,0.67106,2.1,0.0542,88.0,1133.0,389.62,8.95,4.435833,26.501581,29.5,1,238.0,0.1694,6075.0,4.486,-0.12,0.969,1.048,298.45685,48.791592,15.395,CONFIRMED
19.651209505,179.401981,0.723,5.2514,11766.0,0.106953,0.67559,12.42,0.1433,88.27,730.0,67.03,23.98,85.46643,509.4985,513.4,1,59.0,0.5224,6074.0,4.391,-0.12,1.063,1.014,291.0939,48.933842,15.536,FALSE POSITIVE
5.412203927,133.143089,0.787,2.9472,601.6,0.024775,0.51087,2.94,0.0591,85.12,1093.0,337.68,9.25,46.475086,163.47614,166.7,3,244.0,0.2265,5779.0,4.339,-0.06,1.087,0.941,287.88733,46.276241,12.791,CONFIRMED
41.43958662,208.93203,0.355,10.5989,2793.1,0.048175,0.28189,5.5,0.2288,89.31,516.0,16.72,29.47,27.788597,124.52492,141.1,1,33.0,0.4776,5468.0,4.367,0.22,1.046,0.93,295.55505,49.017342,15.4,CONFIRMED
8.35389523,171.63257,0.023,2.2514,1041.6,0.029305,6.73215,2.52,0.0768,89.95,790.0,91.9,29.18,5.6967807,36.34974,43.4,1,127.0,0.5047,5592.0,4.582,-0.28,0.787,0.862,285.49924,49.277351,15.317,CONFIRMED
4.125543472,169.752585,0.597,3.1744,1487.3,0.036796,0.67162,4.43,0.0529,85.95,1243.0,565.35,8.45,9.387555,94.70979,128.6,1,323.0,0.6043,6174.0,4.417,0.1,1.103,1.162,291.93616,49.253979,15.506,CONFIRMED
2.816504904,170.9676846,0.105,2.50587,16814.0,0.117059,2.09079,12.21,0.0383,89.37,1219.0,521.13,9.571,104.64681,1328.3038,1406.8,1,474.0,0.7998,5532.0,4.452,0.14,0.955,0.941,297.01547,49.225288,15.052,CONFIRMED
33.93373447,186.67608,0.812,14.561,8503.7,0.095386,0.0371,7.34,0.1881,86.45,430.0,8.11,13.12,52.86124,193.4089,236.1,1,31.0,0.0299,5040.0,4.628,-0.24,0.705,0.782,284.17233,49.360722,15.716,FALSE POSITIVE
3.689920099,170.36571,0.151,2.6557,426.7,0.018878,1.70798,1.89,0.0469,89.19,1147.0,408.99,10.71,4.8750124,31.786789,35.6,1,360.0,0.4053,5880.0,4.518,-0.06,0.917,1.01,291.62241,50.61824,15.242,CONFIRMED
4.431238488,171.015,0.405,3.15,1010.9,0.02933,1.01996,3.25,0.0529,87.72,1104.0,351.23,10.19,6.815371,58.259056,71.1,3,302.0,0.52,5714.0,4.428,0.16,1.015,1.007,295.81616,51.121738,15.367,CONFIRMED
11.37936986,133.84992,0.911,2.6255,1023.5,0.035628,0.63438,3.95,0.0993,86.8,806.0,99.68,16.31,5.2506146,29.930164,37.9,3,109.0,0.2364,5714.0,4.428,0.16,1.015,1.007,295.81616,51.121738,15.367,CONFIRMED
26.39432897,176.05459,0.602,3.573,1510.9,0.03681,2.93923,3.07,0.1635,89.28,489.0,13.49,47.7,8.917681,41.269753,48.2,1,51.0,0.2735,5129.0,4.595,0.02,0.763,0.846,289.39972,51.25032,15.234,CONFIRMED
13.57078281,136.279194,0.866,3.3539,511.7,0.023908,0.49865,2.64,0.1096,87.07,785.0,89.61,16.93,18.771214,76.76887,88.4,4,101.0,0.6645,5854.0,4.406,-0.12,1.012,0.951,300.86398,44.337551,12.882,CONFIRMED
7.12594387,139.00492,0.898,3.0014,192.4,0.01512,0.23879,1.79,0.0711,84.02,997.0,233.31,8.62,6.1814723,39.793564,47.1,3,181.0,0.7788,5779.0,4.339,-0.06,1.087,0.941,287.88733,46.276241,12.791,CONFIRMED
7.442652004,169.9717797,0.137,2.3078,24446.0,0.143936,7.48712,15.03,0.0742,89.72,967.0,206.78,27.99,115.64278,1044.7283,835.6,1,180.0,0.0786,6108.0,4.469,-0.3,0.956,0.981,288.98682,49.733742,15.27,FALSE POSITIVE
16.38489988,172.72782,0.001,3.0249,1127.1,0.029758,5.4538,2.0,0.1084,90.0,433.0,8.35,42.62,6.419572,28.122635,28.9,3,65.0,0.7202,4126.0,4.661,0.04,0.615,0.633,286.73804,49.97575,15.095,CONFIRMED
7.8774163,176.3759,0.041,2.0805,1306.1,0.03209,8.09685,2.16,0.0665,89.92,553.0,22.18,29.84,10.036489,41.450657,38.7,3,135.0,0.5008,4126.0,4.661,0.04,0.615,0.633,286.73804,49.97575,15.095,CONFIRMED
36.4454001,151.60125,0.028,4.007,1122.3,0.029681,5.21237,1.99,0.1847,89.98,332.0,2.88,71.53,5.9903665,19.803268,21.7,3,27.0,0.6219,4126.0,4.661,0.04,0.615,0.633,286.73804,49.97575,15.095,CONFIRMED
3.728732147,171.793255,0.558,2.683,5226.5,0.068178,1.24118,6.02,0.0455,86.7,1023.0,258.34,9.7,28.264866,360.1958,345.2,1,357.0,0.6769,5497.0,4.577,-0.1,0.809,0.907,290.78574,50.054119,15.523,CONFIRMED
40.4195037,173.56469,0.911,3.362,6256.0,0.088069,1.89549,7.51,0.2062,89.05,467.0,11.29,54.7,22.598503,94.071846,36.9,1,36.0,0.8482,5446.0,4.507,-0.54,0.781,0.714,294.31686,50.080231,15.487,CANDIDATE
2.243380573,170.679233,0.915,1.1196,821.7,0.032248,1.50915,1.99,0.028,82.88,822.0,107.6,7.38,4.251499,30.578562,38.9,1,472.0,0.5576,4149.0,4.698,-0.32,0.564,0.578,285.17621,50.149818,15.135,CONFIRMED
10.405998015,177.197466,0.324,6.5036,14489.0,0.111248,0.38489,11.23,0.0855,88.57,833.0,113.94,13.012,97.352005,691.1691,745.2,1,117.0,0.8796,5746.0,4.393,-0.54,0.924,0.77,289.23553,50.241001,15.562,FALSE POSITIVE
2.337437946,171.761982,0.28,1.9982,971.2,0.027998,2.41093,2.34,0.0325,88.19,1070.0,311.16,8.86,6.0310416,63.58795,82.4,2,578.0,0.6818,5005.0,4.595,0.14,0.765,0.85,293.83331,50.23035,15.334,CONFIRMED
7.2406612,137.75545,1.198,0.558,556.4,0.232818,8.66412,19.45,0.0692,87.62,734.0,68.63,28.8,3.2751372,9.1666,13.7,2,168.0,0.4049,5005.0,4.595,0.14,0.765,0.85,293.83331,50.23035,15.334,CANDIDATE
3.43591631,132.6624,0.624,3.133,23.2,0.004612,0.47024,0.55,0.0437,84.62,1272.0,617.61,6.65,3.8943021,7.4337807,8.7,3,357.0,0.0228,5779.0,4.339,-0.06,1.087,0.941,287.88733,46.276241,12.791,CANDIDATE
11.59822233,180.395376,0.679,2.5237,2804.5,0.051287,3.14915,2.65,0.0798,88.62,396.0,5.82,28.2,11.461336,62.376225,71.0,1,115.0,0.6552,3688.0,4.79,0.0,0.473,0.503,296.22195,50.28722,15.937,CONFIRMED
6.575315881,173.634044,0.39,4.3084,2793.3,0.049152,0.64392,5.31,0.067,88.03,1015.0,251.38,11.37,20.537346,210.22159,221.1,1,205.0,0.5611,5992.0,4.415,-0.32,0.989,0.927,290.09805,50.321609,15.312,CONFIRMED
7.275040844,169.994217,0.547,7.5377,3001.0,0.051358,0.10578,4.86,0.0732,85.29,833.0,113.64,6.66,24.639503,234.95987,312.1,1,188.0,0.1322,5485.0,4.556,0.21,0.867,0.986,295.45529,50.49456,15.08,CONFIRMED
19.27153892,186.77093,0.031,2.7594,1219.8,0.031585,8.48241,1.93,0.1171,89.97,393.0,5.66,55.02,6.437265,28.490973,37.1,2,67.0,0.8388,4077.0,4.702,-0.24,0.56,0.576,293.97336,50.53191,15.385,CONFIRMED
10.06524317,136.28906,0.628,1.369,1053.3,0.031153,18.09666,1.91,0.076,89.22,488.0,13.43,45.9,5.446764,21.658537,30.3,2,126.0,0.0088,4077.0,4.702,-0.24,0.56,0.576,293.97336,50.53191,15.385,CONFIRMED
12.3935651,178.74725,0.883,3.8896,916.6,0.032536,0.27483,2.66,0.0983,86.13,677.0,49.68,13.07,5.6057496,31.608551,35.8,1,107.0,0.8571,5557.0,4.603,-0.4,0.75,0.832,296.02133,50.56778,15.505,CONFIRMED
43.84439721,151.93538,0.852,6.802,615.2,0.025934,0.22039,2.87,0.2395,88.27,531.0,18.77,28.2,16.554466,65.59482,83.7,4,29.0,0.9647,5854.0,4.406,-0.12,1.012,0.951,300.86398,44.337551,12.882,CONFIRMED
3.341913228,171.63943,1.213,3.813,725.3,0.243351,0.01791,21.55,0.0415,56.44,1032.0,268.67,2.19,5.0937037,32.72262,39.0,1,780.0,0.0,5295.0,4.551,-0.02,0.811,0.853,292.31595,38.27029,15.629,FALSE POSITIVE
1.626630225,169.820171,1.26,2.1145,1620.6,0.305244,0.09631,32.43,0.026,58.03,1547.0,1355.88,2.38,5.3061833,45.885685,103.6,1,664.0,0.8796,5735.0,4.41,-0.18,0.973,0.889,294.36819,38.31028,15.279,FALSE POSITIVE
2.711504086,170.03417,0.023,3.0099,837.5,0.026533,0.91618,3.12,0.0401,89.81,1420.0,960.79,7.088,6.3430967,48.726124,64.5,2,494.0,0.228,6214.0,4.442,0.07,1.076,1.169,291.65353,38.494659,15.541,CONFIRMED
7.21203748,172.81782,0.012,4.0491,950.4,0.028255,0.99867,3.32,0.077,89.95,1025.0,260.58,14.003,6.1683164,40.04205,51.5,2,165.0,0.3431,6214.0,4.442,0.07,1.076,1.169,291.65353,38.494659,15.541,CONFIRMED
14.1798187,171.50237,0.1601,2.505,459.9,0.019561,7.76746,1.88,0.1137,89.95,711.0,60.35,43.54,,,11.2,1,,,5799.0,4.539,-0.1,0.878,0.975,291.0448,51.321671,15.727,FALSE POSITIVE
8.47237911,174.16212,0.022,2.7245,1123.5,0.030119,3.86328,2.59,0.0778,89.95,751.0,75.44,24.47,5.7419868,39.867977,47.6,2,159.0,0.9241,5354.0,4.587,-0.08,0.788,0.884,296.36652,51.319519,15.339,CONFIRMED
60.4189369,181.16367,0.094,5.039,931.3,0.027422,4.26444,2.36,0.2884,89.94,390.0,5.49,93.71,6.335456,15.139797,20.1,2,22.0,0.6244,5354.0,4.587,-0.08,0.788,0.884,296.36652,51.319519,15.339,CONFIRMED
12.611904345,180.892284,0.55,5.1497,6105.6,0.073758,0.61222,7.4,0.1058,88.17,753.0,76.15,17.27,31.536423,207.6196,277.2,1,104.0,0.0586,5795.0,4.508,-0.02,0.919,0.992,289.11221,51.737381,15.14,CONFIRMED
1.433769925,170.403536,1.268,1.8868,1976.3,0.318591,0.1372,46.58,0.0256,58.99,1920.0,3209.29,2.46,10.709492,67.78838,112.6,1,481.0,0.0003,6017.0,4.22,0.02,1.339,1.083,290.84369,37.728828,15.122,FALSE POSITIVE
10.31872301,173.31543,1.215,3.836,871.7,0.247006,0.03681,28.59,0.0944,78.15,876.0,139.26,5.92,9.854863,34.775192,38.2,1,130.0,0.9336,5927.0,4.409,0.07,1.06,1.05,291.84891,37.713501,15.065,FALSE POSITIVE
2.539183147,169.67494,0.238,2.4282,382.1,0.017724,1.46261,2.06,0.0355,88.28,1332.0,743.09,7.93,4.680462,34.037075,38.9,1,528.0,0.2119,5519.0,4.35,0.14,1.062,0.921,291.43997,37.905659,15.026,CONFIRMED
6.770300385,170.57662,0.838,2.0844,1304.0,0.037414,1.45164,2.77,0.064,86.84,812.0,102.87,15.21,6.5691905,43.840405,50.8,1,200.0,0.9274,5653.0,4.656,-0.84,0.679,0.767,290.87051,38.273628,15.591,CONFIRMED
0.444291966,169.865406,1.258,2.0792,10967.0,0.396105,0.42351,27.51,0.0101,39.97,1836.0,2706.26,1.641,40.64358,277.1132,299.7,1,1466.0,0.8848,5255.0,4.678,-0.72,0.636,0.709,290.99689,38.28492,15.748,FALSE POSITIVE
10.181584004,177.141891,0.92,3.5089,5741.1,0.084708,0.38059,7.73,0.0884,85.87,812.0,102.91,12.776,27.099031,173.09894,183.6,1,129.0,0.5397,5988.0,4.541,-0.52,0.836,0.885,291.28195,38.241669,15.657,CANDIDATE
20.06036336,147.46554,0.556,3.3203,1494.7,0.036455,3.09445,1.96,0.115,89.21,361.0,4.0,40.4,7.1802754,27.241827,35.2,4,59.0,0.7533,3950.0,4.754,-0.46,0.493,0.502,286.07913,39.27832,15.954,CONFIRMED
46.1842039,165.23729,0.013,4.758,1394.7,0.033974,3.99779,1.83,0.2005,89.99,273.0,1.32,76.67,6.2605453,18.020908,26.0,4,25.0,0.8358,3950.0,4.754,-0.46,0.493,0.502,286.07913,39.27832,15.954,CONFIRMED
23.9800854,147.537,0.95,5.351,104.0,0.011879,0.05654,1.31,0.1602,85.45,649.0,41.94,11.98,4.1784496,10.87813,17.1,4,56.0,0.9971,5854.0,4.406,-0.12,1.012,0.951,300.86398,44.337551,12.882,CONFIRMED
7.82502168,136.54995,0.708,2.186,520.8,0.022312,2.54508,1.2,0.0614,87.99,494.0,14.05,20.2,3.8379083,12.582854,15.9,4,154.0,0.251,3950.0,4.754,-0.46,0.493,0.502,286.07913,39.27832,15.954,CONFIRMED
3.895936525,170.527552,0.524,2.3111,8544.8,0.08689,2.31292,7.34,0.046,87.56,1005.0,241.62,12.29,35.58241,375.5263,370.8,1,275.0,0.1164,5557.0,4.592,-0.3,0.774,0.866,294.65524,39.308361,15.725,CONFIRMED
22.36646466,175.45862,0.4,5.228,986.8,0.028938,1.12517,2.32,0.1449,89.26,536.0,19.45,31.0,6.2514634,25.599396,32.1,1,48.0,0.4848,5395.0,4.615,-0.34,0.734,0.821,294.71063,39.52174,15.583,CONFIRMED
1.625522174,170.8266564,0.076,2.38963,7969.0,0.080543,1.28198,9.73,0.0265,89.22,1579.0,1467.41,5.6364,43.135384,712.5235,799.7,1,657.0,0.254,5539.0,4.322,0.16,1.106,0.935,293.87192,38.422939,15.001,CONFIRMED
19.620346923,181.881819,0.458,2.0038,21725.0,0.137595,23.21659,13.6,0.1389,89.66,643.0,40.39,77.9,73.60154,353.8584,340.5,1,52.0,0.3063,5710.0,4.492,-0.1,0.905,0.928,293.81619,38.563568,15.562,CANDIDATE
7.544039,171.7982,1.175,6.222,322.6,0.194187,0.00393,17.47,0.0731,58.94,838.0,116.46,2.28,4.5001316,12.162734,14.2,1,143.0,0.0016,5657.0,4.567,-0.18,0.824,0.919,293.94116,38.601101,15.559,FALSE POSITIVE
9.02930689,177.20422,0.024,3.1449,1019.8,0.028718,2.66613,2.57,0.0796,89.94,757.0,77.75,22.57,7.610865,47.37303,53.9,1,146.0,0.894,5349.0,4.526,-0.12,0.82,0.824,290.33362,38.72823,15.387,CONFIRMED
10.328035714,174.581054,0.281,7.7915,16918.0,0.118805,0.23528,13.28,0.0888,88.54,843.0,119.31,10.988,76.945915,589.42316,636.8,1,114.0,0.529,5627.0,4.359,-0.1,1.024,0.874,287.69675,38.886452,15.646,FALSE POSITIVE
143.2063047,154.23552,0.379,8.9302,10566.0,0.094044,1.83449,8.9,0.5336,89.83,308.0,2.14,125.8,45.13809,115.57215,138.8,5,9.0,-1.0,5485.0,4.556,0.21,0.867,0.986,285.28363,38.947281,15.403,CONFIRMED
6.164876,135.63916,0.646,3.262,55.8,0.007192,0.69664,0.79,0.0648,86.69,1021.0,256.35,11.19,2.6950479,11.552998,14.4,4,207.0,0.6301,5854.0,4.406,-0.12,1.012,0.951,300.86398,44.337551,12.882,CONFIRMED
60.32494216,243.892578,0.224,6.6188,20280.0,0.128744,2.37656,12.19,0.2998,89.83,411.0,6.77,77.04,88.82677,323.38303,347.2,5,22.0,0.0005,5485.0,4.556,0.21,0.867,0.986,285.28363,38.947281,15.403,CONFIRMED
29.1598615,150.69922,0.3619,4.803,488.0,0.02018,1.92739,1.91,0.1847,89.38,524.0,17.85,44.2,,,11.6,5,,,5485.0,4.556,0.21,0.867,0.986,285.28363,38.947281,15.403,CONFIRMED
1.540397253,170.50479,1.225,2.1541,816.1,0.257087,0.06102,25.69,0.0264,51.56,1470.0,1105.68,1.971,7.5703845,32.004185,38.8,1,842.0,0.6173,5663.0,4.53,0.21,0.915,1.034,286.92639,38.921631,15.974,FALSE POSITIVE
2.99025443,171.9834,0.014,5.414,589.2,0.021279,0.17407,1.7,0.0367,89.81,918.0,168.45,4.349,4.439786,35.481506,48.5,1,454.0,0.0,4667.0,4.578,0.1,0.731,0.737,287.74881,38.92955,15.842,FALSE POSITIVE
1.594745374,170.6483505,0.514,1.9604,15044.0,0.115879,1.77544,11.3,0.0258,85.25,1539.0,1329.42,6.203,62.03516,1015.921,1009.3,1,762.0,1.0,5934.0,4.491,-0.38,0.893,0.901,285.21381,39.027481,15.53,CONFIRMED
4.783002698,170.508434,0.003,2.335,1008.7,0.028315,3.45234,2.5,0.0535,89.99,886.0,145.48,16.102,7.252221,57.638233,70.6,1,281.0,0.5746,5170.0,4.574,0.18,0.807,0.891,287.09399,39.060719,15.119,CONFIRMED
20.50588921,181.43428,0.26,4.0595,2105.5,0.041039,2.64998,3.41,0.1326,89.62,518.0,17.06,38.91,12.827003,70.729904,78.5,1,69.0,0.0106,4905.0,4.544,-0.04,0.761,0.739,289.31543,39.153278,15.398,CONFIRMED
